BobsBigBuds-East-valley,9815 W. Palmare Rd,Phoenix,AZ,85309,602-776-3486,Arcadia
BobsBigBuds-North-valley,1345 E Thunderbird Rd,Phoenix,AZ,85266,602-888-buds,Northridge
Harvest-Chandler,8845 E Williamsfield Rd,Chandler,AZ,85295,480-336-7422,North-Chandler
Harvest-Tempe,12753 E Elliot Rd,Tempe,AZ,85002,602-442-7644,Awatukee
Harvest-West,19775 S Gilbert Rd,Gilbert,AZ,85299,480-522-5582,SunCity
Pot4life-southside,45665 South Arizona Avenue,Gilbert,AZ,85992,480-386-5542,Gilbert
Pot4life-eastside,45 E Ray Rd,Gilbert,AZ,85944,480-338-9854,Gilbert
Stanley’s-Strains ,9455 N 7th St,Phoenix,AZ,85005,602-392-8465,SunnySlope
Bud-o-rama,9191 W Dunlop St,Phoenix,AZ,85001,623-477-3456,WestSide
Kind,33666 Happy Valley Rd,Phoenix,AZ,85008,602-477-2378,Northridge
